wandb: Currently logged in as: alexandretl. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.17.8
wandb: Run data is saved locally in /workspace/hash-hop-hub/wandb/run-20240903_161149-xtovi8rv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run fiery-violet-5
wandb: ⭐️ View project at https://wandb.ai/alexandretl/hash-hop-hub
wandb: 🚀 View run at https://wandb.ai/alexandretl/hash-hop-hub/runs/xtovi8rv
Run name: fiery-violet-5.
Model initialized. Number of parameters : 7251561.
Compiling the model...
Done compiling.
Training is starting.
Iter 021000/100000. train loss : 2.466. valid loss : 2.466. lr : 0.00100. uptime : 00h31min. ETA : 01h56min.
Iter 021200/100000. train loss : 2.461. valid loss : 2.465. lr : 0.00100. uptime : 00h31min. ETA : 01h54min.
Iter 021400/100000. train loss : 2.483. valid loss : 2.465. lr : 0.00100. uptime : 00h32min. ETA : 01h54min.
Iter 021600/100000. train loss : 2.466. valid loss : 2.466. lr : 0.00100. uptime : 00h32min. ETA : 01h53min.
Iter 021800/100000. train loss : 2.458. valid loss : 2.466. lr : 0.00100. uptime : 00h32min. ETA : 01h53min.
Iter 022000/100000. train loss : 2.474. valid loss : 2.467. lr : 0.00100. uptime : 00h33min. ETA : 01h55min.
Iter 022200/100000. train loss : 2.461. valid loss : 2.461. lr : 0.00100. uptime : 00h33min. ETA : 01h52min.
Iter 022400/100000. train loss : 2.468. valid loss : 2.464. lr : 0.00100. uptime : 00h33min. ETA : 01h52min.
Iter 022600/100000. train loss : 2.469. valid loss : 2.466. lr : 0.00100. uptime : 00h33min. ETA : 01h52min.
Iter 022800/100000. train loss : 2.456. valid loss : 2.463. lr : 0.00100. uptime : 00h34min. ETA : 01h52min.
Iter 023000/100000. train loss : 2.463. valid loss : 2.463. lr : 0.00100. uptime : 00h34min. ETA : 01h53min.
Iter 023200/100000. train loss : 2.463. valid loss : 2.464. lr : 0.00100. uptime : 00h34min. ETA : 01h51min.
Iter 023400/100000. train loss : 2.465. valid loss : 2.463. lr : 0.00100. uptime : 00h35min. ETA : 01h51min.
Iter 023600/100000. train loss : 2.457. valid loss : 2.466. lr : 0.00100. uptime : 00h35min. ETA : 01h50min.
