wandb: Currently logged in as: alexandretl. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.17.8
wandb: Run data is saved locally in /workspace/hash-hop-hub/wandb/run-20240903_180237-02pl1fao
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run bright-shadow-6
wandb: ⭐️ View project at https://wandb.ai/alexandretl/hash-hop-hub
wandb: 🚀 View run at https://wandb.ai/alexandretl/hash-hop-hub/runs/02pl1fao
Run name: bright-shadow-6.
Model initialized. Number of parameters : 7251561.
Compiling the model...
Done compiling.
Training is starting.
Iter 021200/100000. train loss : 1.853. valid loss : 1.848. lr : 0.00100. uptime : 00h30min. ETA : 01h49min.
Iter 021400/100000. train loss : 1.840. valid loss : 1.848. lr : 0.00100. uptime : 00h30min. ETA : 01h49min.
Iter 021600/100000. train loss : 1.844. valid loss : 1.848. lr : 0.00100. uptime : 00h31min. ETA : 01h48min.
Iter 021800/100000. train loss : 1.840. valid loss : 1.850. lr : 0.00100. uptime : 00h31min. ETA : 01h47min.
Iter 022000/100000. train loss : 1.852. valid loss : 1.847. lr : 0.00100. uptime : 00h31min. ETA : 01h51min.
Iter 022200/100000. train loss : 1.847. valid loss : 1.848. lr : 0.00100. uptime : 00h32min. ETA : 01h47min.
Iter 022400/100000. train loss : 1.850. valid loss : 1.851. lr : 0.00100. uptime : 00h32min. ETA : 01h47min.
Iter 022600/100000. train loss : 1.823. valid loss : 1.849. lr : 0.00100. uptime : 00h32min. ETA : 01h47min.
Iter 022800/100000. train loss : 1.847. valid loss : 1.850. lr : 0.00100. uptime : 00h32min. ETA : 01h47min.
Iter 023000/100000. train loss : 1.852. valid loss : 1.848. lr : 0.00100. uptime : 00h33min. ETA : 01h50min.
Iter 023200/100000. train loss : 1.844. valid loss : 1.848. lr : 0.00100. uptime : 00h33min. ETA : 01h46min.
Iter 023400/100000. train loss : 1.848. valid loss : 1.849. lr : 0.00100. uptime : 00h33min. ETA : 01h46min.
Iter 023600/100000. train loss : 1.840. valid loss : 1.846. lr : 0.00100. uptime : 00h33min. ETA : 01h46min.
Iter 023800/100000. train loss : 1.845. valid loss : 1.849. lr : 0.00100. uptime : 00h34min. ETA : 01h45min.
Iter 024000/100000. train loss : 1.858. valid loss : 1.848. lr : 0.00100. uptime : 00h34min. ETA : 01h49min.
Iter 024200/100000. train loss : 1.859. valid loss : 1.849. lr : 0.00100. uptime : 00h34min. ETA : 01h45min.
Iter 024400/100000. train loss : 1.865. valid loss : 1.850. lr : 0.00100. uptime : 00h35min. ETA : 01h45min.
Iter 024600/100000. train loss : 1.852. valid loss : 1.847. lr : 0.00100. uptime : 00h35min. ETA : 01h44min.
Iter 024800/100000. train loss : 1.841. valid loss : 1.851. lr : 0.00100. uptime : 00h35min. ETA : 01h44min.
Iter 025000/100000. train loss : 1.845. valid loss : 1.849. lr : 0.00100. uptime : 00h35min. ETA : 01h48min.
Iter 025200/100000. train loss : 1.854. valid loss : 1.848. lr : 0.00100. uptime : 00h36min. ETA : 01h43min.
Iter 025400/100000. train loss : 1.853. valid loss : 1.848. lr : 0.00100. uptime : 00h36min. ETA : 01h43min.
Iter 025600/100000. train loss : 1.843. valid loss : 1.848. lr : 0.00100. uptime : 00h36min. ETA : 01h43min.
